Date,Hour,AvgDissolvedOxygenInput,AvgWaterTemperatureInput,AvgDOPercentSaturationInput,AvgDissolvedOxygenOutput,AvgWaterTemperatureOutput,AvgDOPercentSaturationOutput,OxygenInOutDiff,DateHour,DODiffIn,DODiffOut,AvgWaterSurfaceElevationInput,AvgWaterSurfaceElevationOutput,mean_GlobalSolarRadiationCampodarsego,mean_GlobalSolarRadiationLegnaro,mean_Max_AirRel_Humidity,mean_Min_AirRel_Humidity,mean_Tair_mean,sum_Precipitation,WeatherRegime,aggPrecipitation
29-Jan-2023,0,8.96466666666667,8.33008333333333,76.3082111666667,8.77791666666667,7.87433333333333,73.8924210833333,0.18675,29-Jan-2023 00:00:00,-0.0242500000000003,-0.00799999999999912,11.6715,8.80641666666667,0,0,67,67,2.6,0,Dry,0
29-Jan-2023,1,8.94958333333333,8.30358333333333,76.1307995,8.76141666666667,7.84666666666667,73.7035385833333,0.188166666666667,29-Jan-2023 01:00:00,-0.0150833333333331,-0.0165000000000006,11.6725416666667,8.80425,0,0,67,66,2.6,0,Dry,0
29-Jan-2023,2,8.93216666666667,8.29341666666667,75.9638863333333,8.75141666666667,7.81766666666667,73.5670885,0.180750000000002,29-Jan-2023 02:00:00,-0.0174166666666675,-0.0100000000000016,11.67345,8.80233333333333,0,0,69,67,2.1,0,Dry,0
29-Jan-2023,3,8.90833333333333,8.26666666666667,75.7119290833333,8.76483333333333,7.79333333333333,73.635912,0.1435,29-Jan-2023 03:00:00,-0.023833333333334,0.013416666666668,11.6743333333333,8.802,0,0,71,68,1.7,0,Dry,0
29-Jan-2023,4,8.85791666666667,8.25108333333334,75.25487825,8.77216666666667,7.78291666666667,73.6786909166667,0.0857499999999991,29-Jan-2023 04:00:00,-0.050416666666667,0.00733333333333341,11.6753583333333,8.79975,0,0,75,72,1.3,0,Dry,0
29-Jan-2023,5,8.8215,8.2275,74.9025058333333,8.75008333333333,7.77741666666667,73.4832905,0.0714166666666642,29-Jan-2023 05:00:00,-0.0364166666666677,-0.0220833333333328,11.6751166666667,8.80911666666667,0,0,73,72,1.3,0,Dry,0
29-Jan-2023,6,8.80058333333333,8.18108333333333,74.6404858333333,8.74075,7.77583333333333,73.4020460833333,0.0598333333333336,29-Jan-2023 06:00:00,-0.0209166666666647,-0.00933333333333408,11.6758583333333,8.82764166666667,0,0,73,72,1.5,0,Dry,0
29-Jan-2023,7,8.77141666666667,8.15066666666667,74.3379985833333,8.7705,7.76241666666667,73.6276380833333,0.000916666666666899,29-Jan-2023 07:00:00,-0.0291666666666668,0.0297499999999999,11.675575,8.83545,0,0,76,73,1.5,0,Dry,0
29-Jan-2023,8,8.79508333333333,8.12383333333333,74.4898145833333,8.79083333333333,7.79083333333333,73.84982725,0.00425000000000075,29-Jan-2023 08:00:00,0.0236666666666672,0.0203333333333333,11.6757,8.82678333333333,0,4,73,71,2,0,Dry,0
29-Jan-2023,9,8.83866666666666,8.10008333333333,74.81559075,8.86583333333333,7.82225,74.5373173333333,-0.0271666666666697,29-Jan-2023 09:00:00,0.0435833333333306,0.0750000000000011,11.6758583333333,8.82041666666667,54,44,71,70,2.3,0,Dry,0
